ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№5190 | Инфинитив: úosti               | Форма: "uodziame" (Mes     ) | Варианты: úodžiame / úodžiame / uõdžiame
№5191 | Инфинитив: úosti               | Форма: "uodziate" (Jūs     ) | Варианты: úodžiate / uõdžiate
№5192 | Инфинитив: úosti               | Форма: "uodziau" (Aš      ) | Варианты: úodžiau / úodžiau / uodžiaũ
№5193 | Инфинитив: úosti               | Форма: "uode" (Jis/ji  ) | Варианты: úodė / úodė / uõdė
№5194 | Инфинитив: úosti               | Форма: "uodeme" (Mes     ) | Варианты: úodėme / úodėme / uõdėme
№5195 | Инфинитив: úosti               | Форма: "uodete" (Jūs     ) | Варианты: úodėte / uõdėte
№5196 | Инфинитив: úosti               | Форма: "uosime" (Mes     ) | Варианты: úosime / uõsime
№5197 | Инфинитив: úosti               | Форма: "uosite" (Jūs     ) | Варианты: úosite / uõsite
№5198 | Инфинитив: úosti               | Форма: "uosciau" (Aš      ) | Варианты: uosčiaũ / úosčiau
№5199 | Инфинитив: úosti               | Форма: "uostum" (Tu      ) | Варианты: úostum / uõstum
№5200 | Инфинитив: úosti               | Форма: "uostu" (Jis/ji  ) | Варианты: úostų / úostų / uõstų
№5201 | Инфинитив: úosti               | Форма: "uostume" (Mes     ) | Варианты: úostume / uõstume
№5202 | Инфинитив: úosti               | Форма: "uostute" (Jūs     ) | Варианты: úostute / uõstute
№5203 | Инфинитив: úosti               | Форма: "uosdavau" (Aš      ) | Варианты: úosdavau / uõsdavau
№5204 | Инфинитив: úosti               | Форма: "uosdavai" (Tu      ) | Варианты: úosdavai / uõsdavai
№5205 | Инфинитив: úosti               | Форма: "uosdavome" (Mes     ) | Варианты: úosdavome / uõsdavome
№5206 | Инфинитив: úosti               | Форма: "uosdavote" (Jūs     ) | Варианты: úosdavote / uõsdavote
№5207 | Инфинитив: ur̃gzti              | Форма: "urgztu" (Jis/ji  ) | Варианты: urgztų̃ / ur̃gztų
№5208 | Инфинитив: užàkti              | Форма: "uzaktu" (Jis/ji  ) | Варианты: užaktų̃ / užàktų
№5209 | Инфинитив: užaugìnti           | Форма: "uzauginciau" (Aš      ) | Варианты: užauginčiaũ / užaugìnčiau
№5210 | Инфинитив: užaugìnti           | Форма: "uzaugintume" (Mes     ) | Варианты: užaugintumè / užaugìntume
№5211 | Инфинитив: užáugti             | Форма: "uzaugtu" (Jis/ji  ) | Варианты: užaugtų̃ / užáugtų
№5212 | Инфинитив: užáugti             | Форма: "uzauk" (Tu      ) | Варианты: užaũk / užáuk
№5213 | Инфинитив: užáugti             | Форма: "uzaukite" (Jūs     ) | Варианты: užaũkite / užáukite
№5214 | Инфинитив: užbaĩgti            | Форма: "uzbaigciau" (Aš      ) | Варианты: užbaigčiaũ / užbaĩgčiau
№5215 | Инфинитив: užbaĩgti            | Форма: "uzbaigtu" (Jis/ji  ) | Варианты: užbaigtų̃ / užbaĩgtų
№5216 | Инфинитив: užbaĩgti            | Форма: "uzbaigtume" (Mes     ) | Варианты: užbaigtumè / užbaĩgtume
№5217 | Инфинитив: užbérti             | Форма: "uzberiau" (Aš      ) | Варианты: ùžbėriau / užbė́riau / ùžbėriau
№5218 | Инфинитив: užbérti             | Форма: "uzberei" (Tu      ) | Варианты: užbė́rei / ùžbėrei
№5219 | Инфинитив: užbérti             | Форма: "uzbere" (Jis/ji  ) | Варианты: ùžbėrė / užbė́rė / ùžbėrė
№5220 | Инфинитив: užbérti             | Форма: "uzbereme" (Mes     ) | Варианты: ùžbėrėme / užbė́rėme / ùžbėrėme
№5221 | Инфинитив: užbérti             | Форма: "uzberete" (Jūs     ) | Варианты: užbė́rėte / ùžbėrėte
№5222 | Инфинитив: užbérti             | Форма: "uzbersiu" (Aš      ) | Варианты: užber̃siu / užbérsiu
№5223 | Инфинитив: užbérti             | Форма: "uzbersi" (Tu      ) | Варианты: užber̃si / užbérsi
№5224 | Инфинитив: užbérti             | Форма: "uzbersime" (Mes     ) | Варианты: užber̃sime / užbérsime
№5225 | Инфинитив: užbérti             | Форма: "uzbersite" (Jūs     ) | Варианты: užbérsite / užber̃site
№5226 | Инфинитив: užbérti             | Форма: "uzberciau" (Aš      ) | Варианты: užbérčiau / užber̃čiau
№5227 | Инфинитив: užbérti             | Форма: "uzbertum" (Tu      ) | Варианты: užbértum / užber̃tum
№5228 | Инфинитив: užbérti             | Форма: "uzbertu" (Jis/ji  ) | Варианты: užbertų̃ / užbértų / užber̃tų
№5229 | Инфинитив: užbérti             | Форма: "uzbertume" (Mes     ) | Варианты: užbértume / užber̃tume
№5230 | Инфинитив: užbérti             | Форма: "uzbertute" (Jūs     ) | Варианты: užbértute / užber̃tute
№5231 | Инфинитив: užbérti             | Форма: "uzberk" (Tu      ) | Варианты: užber̃k / užbérk
№5232 | Инфинитив: užbérti             | Форма: "uzberkite" (Jūs     ) | Варианты: užber̃kite / užbérkite
№5233 | Инфинитив: užbérti             | Форма: "uzberdavau" (Aš      ) | Варианты: užber̃davau / užbérdavau
№5234 | Инфинитив: užbérti             | Форма: "uzberdavai" (Tu      ) | Варианты: užbérdavai / užber̃davai
№5235 | Инфинитив: užbérti             | Форма: "uzberdavo" (Jis/ji  ) | Варианты: užber̃davo / užbérdavo
№5236 | Инфинитив: užbérti             | Форма: "uzberdavome" (Mes     ) | Варианты: užbérdavome / užber̃davome
№5237 | Инфинитив: užbérti             | Форма: "uzberdavote" (Jūs     ) | Варианты: užbérdavote / užber̃davote
№5238 | Инфинитив: užblokúoti          | Форма: "uzblokuotume" (Mes     ) | Варианты: užblokuotumè / užblokúotume
№5239 | Инфинитив: užbùrti             | Форма: "uzburciau" (Aš      ) | Варианты: užburčiaũ / užbùrčiau
№5240 | Инфинитив: užbùrti             | Форма: "uzburtu" (Jis/ji  ) | Варианты: užburtų̃ / užbùrtų
№5241 | Инфинитив: užčiáupti           | Форма: "uzciauptu" (Jis/ji  ) | Варианты: užčiauptų̃ / užčiáuptų
№5242 | Инфинитив: užčiúopti           | Форма: "uzciuopsiu" (Aš      ) | Варианты: užčiúopsiu / užčiuõpsiu
№5243 | Инфинитив: užčiúopti           | Форма: "uzciuopsi" (Tu      ) | Варианты: užčiúopsi / užčiuõpsi
№5244 | Инфинитив: užčiúopti           | Форма: "uzciuopsime" (Mes     ) | Варианты: užčiúopsime / užčiúopsime / užčiuõpsime
№5245 | Инфинитив: užčiúopti           | Форма: "uzciuopsite" (Jūs     ) | Варианты: užčiúopsite / užčiúopsite / užčiuõpsite
№5246 | Инфинитив: užčiúopti           | Форма: "uzciuopciau" (Aš      ) | Варианты: užčiúopčiau / užčiuõpčiau
№5247 | Инфинитив: užčiúopti           | Форма: "uzciuoptum" (Tu      ) | Варианты: užčiúoptum / užčiúoptum / užčiuõptum
№5248 | Инфинитив: užčiúopti           | Форма: "uzciuoptu" (Jis/ji  ) | Варианты: užčiúoptų / užčiúoptų / užčiuõptų
№5249 | Инфинитив: užčiúopti           | Форма: "uzciuoptume" (Mes     ) | Варианты: užčiúoptume / užčiuõptume
№5250 | Инфинитив: užčiúopti           | Форма: "uzciuoptute" (Jūs     ) | Варианты: užčiúoptute / užčiuõptute
№5251 | Инфинитив: užčiúopti           | Форма: "uzciuopk" (Tu      ) | Варианты: užčiúopk / užčiuõpk
№5252 | Инфинитив: užčiúopti           | Форма: "uzciuopkite" (Jūs     ) | Варианты: užčiúopkite / užčiuõpkite
№5253 | Инфинитив: užčiúopti           | Форма: "uzciuopdavau" (Aš      ) | Варианты: užčiúopdavau / užčiuõpdavau
№5254 | Инфинитив: užčiúopti           | Форма: "uzciuopdavai" (Tu      ) | Варианты: užčiúopdavai / užčiuõpdavai
№5255 | Инфинитив: užčiúopti           | Форма: "uzciuopdavo" (Jis/ji  ) | Варианты: užčiúopdavo / užčiúopdavo / užčiuõpdavo
№5256 | Инфинитив: užčiúopti           | Форма: "uzciuopdavome" (Mes     ) | Варианты: užčiúopdavome / užčiuõpdavome
№5257 | Инфинитив: užčiúopti           | Форма: "uzciuopdavote" (Jūs     ) | Варианты: užčiúopdavote / užčiuõpdavote
№5258 | Инфинитив: uždainúoti          | Форма: "uzdainuociau" (Aš      ) | Варианты: uždainuočiaũ / uždainúočiau
№5259 | Инфинитив: uždainúoti          | Форма: "uzdainuotume" (Mes     ) | Варианты: uždainuotumè / uždainúotume
№5260 | Инфинитив: uždarýti            | Форма: "uzdarai" (Tu      ) | Варианты: ùždarai / uždaraĩ
№5261 | Инфинитив: uždarýti            | Форма: "uzdaryciau" (Aš      ) | Варианты: uždaryčiaũ / uždarýčiau
№5262 | Инфинитив: uždarýti            | Форма: "uzdarytume" (Mes     ) | Варианты: uždarytumè / uždarýtume
№5263 | Инфинитив: uždègti             | Форма: "uzdegciau" (Aš      ) | Варианты: uždegčiaũ / uždègčiau
№5264 | Инфинитив: uždègti             | Форма: "uzdegtu" (Jis/ji  ) | Варианты: uždegtų̃ / uždègtų
№5265 | Инфинитив: uždègti             | Форма: "uzdegtume" (Mes     ) | Варианты: uždegtumè / uždègtume
№5266 | Инфинитив: uždeñgti            | Форма: "uzdengiu" (Aš      ) | Варианты: ùždengiu / uždengiù
№5267 | Инфинитив: uždeñgti            | Форма: "uzdengi" (Tu      ) | Варианты: ùždengi / uždengì
№5268 | Инфинитив: uždeñgti            | Форма: "uzdengtu" (Jis/ji  ) | Варианты: uždengtų̃ / uždeñgtų
№5269 | Инфинитив: uždeñgti            | Форма: "uzdengtume" (Mes     ) | Варианты: uždengtumè / uždeñgtume
№5270 | Инфинитив: uždė́ti              | Форма: "uzdeciau" (Aš      ) | Варианты: uždėčiaũ / uždė́čiau
№5271 | Инфинитив: uždė́ti              | Форма: "uzdetu" (Jis/ji  ) | Варианты: uždėtų̃ / uždė́tų
№5272 | Инфинитив: uždė́ti              | Форма: "uzdetume" (Mes     ) | Варианты: uždėtumè / uždė́tume
№5273 | Инфинитив: uždìrbti            | Форма: "uzdirbciau" (Aš      ) | Варианты: uždirbčiaũ / uždìrbčiau
№5274 | Инфинитив: uždìrbti            | Форма: "uzdirbtume" (Mes     ) | Варианты: uždirbtumè / uždìrbtume
№5275 | Инфинитив: uždraũsti           | Форма: "uzdrausciau" (Aš      ) | Варианты: uždrausčiaũ / uždraũsčiau
№5276 | Инфинитив: uždraũsti           | Форма: "uzdraustume" (Mes     ) | Варианты: uždraustumè / uždraũstume
№5277 | Инфинитив: uždúoti             | Форма: "uzduociau" (Aš      ) | Варианты: užduočiaũ / uždúočiau
№5278 | Инфинитив: uždúoti             | Форма: "uzduotume" (Mes     ) | Варианты: užduotumè / uždúotume
№5279 | Инфинитив: uždùsti             | Форма: "uzdusime" (Mes     ) | Варианты: uždusimè / uždùsime
№5280 | Инфинитив: užeĩti              | Форма: "uzeiciau" (Aš      ) | Варианты: užeičiaũ / užeĩčiau
№5281 | Инфинитив: užeĩti              | Форма: "uzeitu" (Jis/ji  ) | Варианты: užeitų̃ / užeĩtų
№5282 | Инфинитив: užeĩti              | Форма: "uzeitume" (Mes     ) | Варианты: užeitumè / užeĩtume
№5283 | Инфинитив: užfiksúoti          | Форма: "uzfiksuociau" (Aš      ) | Варианты: užfiksuočiaũ / užfiksúočiau
№5284 | Инфинитив: užfiksúoti          | Форма: "uzfiksuotume" (Mes     ) | Варианты: užfiksuotumè / užfiksúotume
№5285 | Инфинитив: užgáuti             | Форма: "uzgausiu" (Aš      ) | Варианты: užgáusiu / užgaũsiu
№5286 | Инфинитив: užgáuti             | Форма: "uzgausi" (Tu      ) | Варианты: užgáusi / užgaũsi
№5287 | Инфинитив: užgáuti             | Форма: "uzgausime" (Mes     ) | Варианты: užgáusime / užgaũsime
№5288 | Инфинитив: užgáuti             | Форма: "uzgautu" (Jis/ji  ) | Варианты: užgautų̃ / užgáutų
№5289 | Инфинитив: užgérti             | Форма: "uzgertu" (Jis/ji  ) | Варианты: užgertų̃ / užgértų
№5290 | Инфинитив: užgesìnti           | Форма: "uzgesinciau" (Aš      ) | Варианты: užgesinčiaũ / užgesìnčiau
№5291 | Инфинитив: užgèsti             | Форма: "uzgesime" (Mes     ) | Варианты: užgesimè / užgèsime
№5292 | Инфинитив: užgèsti             | Форма: "uzgestu" (Jis/ji  ) | Варианты: užgestų̃ / užgèstų
№5293 | Инфинитив: užgniáužti          | Форма: "uzgniauztu" (Jis/ji  ) | Варианты: užgniaužtų̃ / užgniáužtų
№5294 | Инфинитив: užgriū́ti            | Форма: "uzgriutu" (Jis/ji  ) | Варианты: užgriūtų̃ / užgriū́tų
№5295 | Инфинитив: užgróbti            | Форма: "uzgrobiu" (Aš      ) | Варианты: užgróbiu / užgrobiù
№5296 | Инфинитив: užgróbti            | Форма: "uzgrobi" (Tu      ) | Варианты: užgróbi / užgrobì
№5297 | Инфинитив: užgróbti            | Форма: "uzgrobia" (Jis/ji  ) | Варианты: užgróbia / užgróbia / užgrõbia
№5298 | Инфинитив: užgróbti            | Форма: "uzgrobiame" (Mes     ) | Варианты: užgróbiame / užgrõbiame
№5299 | Инфинитив: užgróbti            | Форма: "uzgrobiate" (Jūs     ) | Варианты: užgróbiate / užgrõbiate
№5300 | Инфинитив: užgróbti            | Форма: "uzgrobiau" (Aš      ) | Варианты: užgróbiau / ùžgrobiau
№5301 | Инфинитив: užgróbti            | Форма: "uzgrobei" (Tu      ) | Варианты: užgróbei / ùžgrobei
№5302 | Инфинитив: užgróbti            | Форма: "uzgrobe" (Jis/ji  ) | Варианты: užgróbė / užgróbė / ùžgrobė
№5303 | Инфинитив: užgróbti            | Форма: "uzgrobeme" (Mes     ) | Варианты: užgróbėme / ùžgrobėme
№5304 | Инфинитив: užgróbti            | Форма: "uzgrobete" (Jūs     ) | Варианты: užgróbėte / ùžgrobėte
№5305 | Инфинитив: užgróbti            | Форма: "uzgrobsiu" (Aš      ) | Варианты: užgróbsiu / užgrõbsiu
№5306 | Инфинитив: užgróbti            | Форма: "uzgrobsi" (Tu      ) | Варианты: užgróbsi / užgrõbsi
№5307 | Инфинитив: užgróbti            | Форма: "uzgrobsime" (Mes     ) | Варианты: užgróbsime / užgróbsime / užgrõbsime
№5308 | Инфинитив: užgróbti            | Форма: "uzgrobsite" (Jūs     ) | Варианты: užgróbsite / užgróbsite / užgrõbsite
№5309 | Инфинитив: užgróbti            | Форма: "uzgrobciau" (Aš      ) | Варианты: užgróbčiau / užgrõbčiau
№5310 | Инфинитив: užgróbti            | Форма: "uzgrobtum" (Tu      ) | Варианты: užgróbtum / užgrõbtum
№5311 | Инфинитив: užgróbti            | Форма: "uzgrobtu" (Jis/ji  ) | Варианты: užgróbtų / užgróbtų / užgrõbtų
№5312 | Инфинитив: užgróbti            | Форма: "uzgrobtume" (Mes     ) | Варианты: užgróbtume / užgrõbtume
№5313 | Инфинитив: užgróbti            | Форма: "uzgrobtute" (Jūs     ) | Варианты: užgróbtute / užgrõbtute
№5314 | Инфинитив: užgróbti            | Форма: "uzgrobk" (Tu      ) | Варианты: užgróbk / užgrõbk
№5315 | Инфинитив: užgróbti            | Форма: "uzgrobkite" (Jūs     ) | Варианты: užgróbkite / užgrõbkite
№5316 | Инфинитив: užgróbti            | Форма: "uzgrobdavau" (Aš      ) | Варианты: užgróbdavau / užgróbdavau / užgrõbdavau
№5317 | Инфинитив: užgróbti            | Форма: "uzgrobdavai" (Tu      ) | Варианты: užgróbdavai / užgrõbdavai
№5318 | Инфинитив: užgróbti            | Форма: "uzgrobdavo" (Jis/ji  ) | Варианты: užgróbdavo / užgróbdavo / užgrõbdavo
№5319 | Инфинитив: užgróbti            | Форма: "uzgrobdavome" (Mes     ) | Варианты: užgróbdavome / užgrõbdavome
№5320 | Инфинитив: užgróbti            | Форма: "uzgrobdavote" (Jūs     ) | Варианты: užgróbdavote / užgrõbdavote
№5321 | Инфинитив: užgýti              | Форма: "uzgytu" (Jis/ji  ) | Варианты: užgytų̃ / užgýtų
№5322 | Инфинитив: užhipnotizúoti      | Форма: "uzhipnotizuotume" (Mes     ) | Варианты: užhipnotizuotumè / užhipnotizúotume
№5323 | Инфинитив: užim̃ti              | Форма: "uzimciau" (Aš      ) | Варианты: užimčiaũ / užim̃čiau
№5324 | Инфинитив: užim̃ti              | Форма: "uzimtume" (Mes     ) | Варианты: užimtumè / užim̃tume
№5325 | Инфинитив: užjaũsti            | Форма: "uzjauti" (Tu      ) | Варианты: užjáuti / užjautì
№5326 | Инфинитив: užjaũsti            | Форма: "uzjausiu" (Aš      ) | Варианты: užjáusiu / užjaũsiu
№5327 | Инфинитив: užjaũsti            | Форма: "uzjausime" (Mes     ) | Варианты: užjáusime / užjaũsime
№5328 | Инфинитив: užjaũsti            | Форма: "uzjausite" (Jūs     ) | Варианты: užjáusite / užjaũsite
№5329 | Инфинитив: užjaũsti            | Форма: "uzjaustu" (Jis/ji  ) | Варианты: užjaustų̃ / užjaũstų
№5330 | Инфинитив: užkálbinti          | Форма: "uzkalbinciau" (Aš      ) | Варианты: užkalbinčiaũ / užkálbinčiau
№5331 | Инфинитив: užkálbinti          | Форма: "uzkalbintume" (Mes     ) | Варианты: užkalbintumè / užkálbintume
№5332 | Инфинитив: užkálti             | Форма: "uzkalciau" (Aš      ) | Варианты: užkalčiaũ / užkálčiau
№5333 | Инфинитив: užkálti             | Форма: "uzkaltume" (Mes     ) | Варианты: užkaltumè / užkáltume
№5334 | Инфинитив: užkariáuti          | Форма: "uzkariauciau" (Aš      ) | Варианты: užkariaučiaũ / užkariáučiau
№5335 | Инфинитив: užkàsti             | Форма: "uzkasiau" (Aš      ) | Варианты: užkasiaũ / ùžkasiau
№5336 | Инфинитив: užkàsti             | Форма: "uzkasei" (Tu      ) | Варианты: užkaseĩ / ùžkasei
№5337 | Инфинитив: užkàsti             | Форма: "uzkase" (Jis/ji  ) | Варианты: užkãsė / ùžkasė
№5338 | Инфинитив: užkàsti             | Форма: "uzkaseme" (Mes     ) | Варианты: užkãsėme / ùžkasėme
№5339 | Инфинитив: užkàsti             | Форма: "uzkasciau" (Aš      ) | Варианты: užkasčiaũ / užkàsčiau
№5340 | Инфинитив: užkàsti             | Форма: "uzkastu" (Jis/ji  ) | Варианты: užkastų̃ / užkàstų
№5341 | Инфинитив: užkim̃šti            | Форма: "uzkimso" (Jis/ji  ) | Варианты: užkìmšo / užkim̃šo
№5342 | Инфинитив: užkim̃šti            | Форма: "uzkimsome" (Mes     ) | Варианты: užkìmšome / užkim̃šome
№5343 | Инфинитив: užkim̃šti            | Форма: "uzkimstu" (Jis/ji  ) | Варианты: užkimštų̃ / užkim̃štų
№5344 | Инфинитив: užkìmti             | Форма: "uzkimtu" (Jis/ji  ) | Варианты: užkimtų̃ / užkìmtų
№5345 | Инфинитив: užkir̃sti            | Форма: "uzkerti" (Tu      ) | Варианты: užkérti / ùžkerti
№5346 | Инфинитив: užkir̃sti            | Форма: "uzkirsi" (Tu      ) | Варианты: užkìrsi / užkir̃si
№5347 | Инфинитив: užkir̃sti            | Форма: "uzkirsime" (Mes     ) | Варианты: užkìrsime / užkir̃sime
№5348 | Инфинитив: užkir̃sti            | Форма: "uzkirsite" (Jūs     ) | Варианты: užkìrsite / užkir̃site
№5349 | Инфинитив: užkir̃sti            | Форма: "uzkirsciau" (Aš      ) | Варианты: užkirsčiaũ / užkir̃sčiau
№5350 | Инфинитив: užkir̃sti            | Форма: "uzkirstum" (Tu      ) | Варианты: užkìrstum / užkir̃stum
№5351 | Инфинитив: užkir̃sti            | Форма: "uzkirstu" (Jis/ji  ) | Варианты: užkirstų̃ / užkir̃stų
№5352 | Инфинитив: užkir̃sti            | Форма: "uzkirstume" (Mes     ) | Варианты: užkirstumè / užkir̃stume
№5353 | Инфинитив: užkir̃sti            | Форма: "uzkirsk" (Tu      ) | Варианты: užkìrsk / užkir̃sk
№5354 | Инфинитив: užkir̃sti            | Форма: "uzkirskite" (Jūs     ) | Варианты: užkìrskite / užkir̃skite
№5355 | Инфинитив: užkir̃sti            | Форма: "uzkirsdavo" (Jis/ji  ) | Варианты: užkìrsdavo / užkir̃sdavo
№5356 | Инфинитив: užkliū́ti            | Форма: "uzkliutu" (Jis/ji  ) | Варианты: užkliūtų̃ / užkliū́tų
№5357 | Инфинитив: užklóti             | Форма: "uzkloji" (Tu      ) | Варианты: užklõji / užklóji
№5358 | Инфинитив: užklóti             | Форма: "uzklodavo" (Jis/ji  ) | Варианты: užklodãvo / užklódavo
№5359 | Инфинитив: užkópti             | Форма: "uzkopiu" (Aš      ) | Варианты: užkopiù / užkópiu
№5360 | Инфинитив: užkópti             | Форма: "uzkopi" (Tu      ) | Варианты: užkopì / užkópi
№5361 | Инфинитив: užkópti             | Форма: "uzkopia" (Jis/ji  ) | Варианты: užkõpia / užkópia
№5362 | Инфинитив: užkópti             | Форма: "uzkopiame" (Mes     ) | Варианты: užkõpiame / užkópiame
№5363 | Инфинитив: užkópti             | Форма: "uzkopdavai" (Tu      ) | Варианты: užkõpdavai / užkópdavai
№5364 | Инфинитив: užkópti             | Форма: "uzkopdavo" (Jis/ji  ) | Варианты: užkõpdavo / užkópdavo
№5365 | Инфинитив: užkópti             | Форма: "uzkopciau" (Aš      ) | Варианты: užkopčiaũ / užkópčiau
№5366 | Инфинитив: užkópti             | Форма: "uzkoptu" (Jis/ji  ) | Варианты: užkoptų̃ / užkóptų
№5367 | Инфинитив: užkópti             | Форма: "uzkoptume" (Mes     ) | Варианты: užkoptumè / užkóptume
№5368 | Инфинитив: užkópti             | Форма: "uzkopk" (Tu      ) | Варианты: užkõpk / užkópk
№5369 | Инфинитив: užkópti             | Форма: "uzkopkite" (Jūs     ) | Варианты: užkõpkite / užkópkite
№5370 | Инфинитив: užkráuti            | Форма: "uzkrauciau" (Aš      ) | Варианты: užkraučiaũ / užkráučiau
№5371 | Инфинитив: užkráuti            | Форма: "uzkrautu" (Jis/ji  ) | Варианты: užkrautų̃ / užkráutų
№5372 | Инфинитив: užkráuti            | Форма: "uzkrautume" (Mes     ) | Варианты: užkrautumè / užkráutume
№5373 | Инфинитив: užkrė̃sti            | Форма: "uzkrestume" (Mes     ) | Варианты: užkrėstumè / užkrė̃stume
№5374 | Инфинитив: užkùrti             | Форма: "uzkurtu" (Jis/ji  ) | Варианты: užkurtų̃ / užkùrtų
№5375 | Инфинитив: užkùrti             | Форма: "uzkurtume" (Mes     ) | Варианты: užkurtumè / užkùrtume
№5376 | Инфинитив: užléisti            | Форма: "uzleisciau" (Aš      ) | Варианты: užleisčiaũ / užléisčiau
№5377 | Инфинитив: užléisti            | Форма: "uzleistu" (Jis/ji  ) | Варианты: užleistų̃ / užléistų
№5378 | Инфинитив: užlíeti             | Форма: "uzlietu" (Jis/ji  ) | Варианты: užlietų̃ / užlíetų
№5379 | Инфинитив: užlìpti             | Форма: "uzliptu" (Jis/ji  ) | Варианты: užliptų̃ / užlìptų
№5380 | Инфинитив: užmaskúoti          | Форма: "uzmaskuociau" (Aš      ) | Варианты: užmaskuočiaũ / užmaskúočiau
№5381 | Инфинитив: užmègzti            | Форма: "uzmegzciau" (Aš      ) | Варианты: užmegzčiaũ / užmègzčiau
№5382 | Инфинитив: užmègzti            | Форма: "uzmegztu" (Jis/ji  ) | Варианты: užmegztų̃ / užmègztų
№5383 | Инфинитив: užmègzti            | Форма: "uzmegztume" (Mes     ) | Варианты: užmegztumè / užmègztume
№5384 | Инфинитив: užmèsti             | Форма: "uzmestu" (Jis/ji  ) | Варианты: užmestų̃ / užmèstų
№5385 | Инфинитив: užmigdýti           | Форма: "uzmigdytume" (Mes     ) | Варианты: užmigdytumè / užmigdýtume
№5386 | Инфинитив: užmìnti             | Форма: "uzminsiu" (Aš      ) | Варианты: užmiñsiu / užmìnsiu
№5387 | Инфинитив: užmìnti             | Форма: "uzminsi" (Tu      ) | Варианты: užmiñsi / užmìnsi
№5388 | Инфинитив: užmìnti             | Форма: "uzmintum" (Tu      ) | Варианты: užmiñtum / užmìntum
№5389 | Инфинитив: užmìnti             | Форма: "uzmintu" (Jis/ji  ) | Варианты: užmintų̃ / užmìntų
№5390 | Инфинитив: užmìnti             | Форма: "uzmink" (Tu      ) | Варианты: užmiñk / užmìnk
№5391 | Инфинитив: užmìnti             | Форма: "uzminkite" (Jūs     ) | Варианты: užmiñkite / užmìnkite
№5392 | Инфинитив: užmìnti             | Форма: "uzmindavau" (Aš      ) | Варианты: užmiñdavau / užmìndavau
№5393 | Инфинитив: užmìnti             | Форма: "uzmindavo" (Jis/ji  ) | Варианты: užmiñdavo / užmìndavo
№5394 | Инфинитив: užmir̃šti            | Форма: "uzmirstu" (Aš      ) | Варианты: užmìrštu / užmirštù
№5395 | Инфинитив: užmir̃šti            | Форма: "uzmirsti" (Tu      ) | Варианты: užmir̃šti / užmirštì
№5396 | Инфинитив: užmir̃šti            | Форма: "uzmirsta" (Jis/ji  ) | Варианты: užmìršta / užmir̃šta
№5397 | Инфинитив: užmir̃šti            | Форма: "uzmirstame" (Mes     ) | Варианты: užmìrštame / užmir̃štame
№5398 | Инфинитив: užmir̃šti            | Форма: "uzmirstate" (Jūs     ) | Варианты: užmìrštate / užmir̃štate
№5399 | Инфинитив: užmir̃šti            | Форма: "uzmirsciau" (Aš      ) | Варианты: užmirščiaũ / užmir̃ščiau
№5400 | Инфинитив: užmir̃šti            | Форма: "uzmirstume" (Mes     ) | Варианты: užmirštumè / užmir̃štume
№5401 | Инфинитив: užmokė́ti            | Форма: "uzmokeciau" (Aš      ) | Варианты: užmokėčiaũ / užmokė́čiau
№5402 | Инфинитив: užmùšti             | Форма: "uzmusime" (Mes     ) | Варианты: užmušimè / užmùšime
№5403 | Инфинитив: užmùšti             | Форма: "uzmusciau" (Aš      ) | Варианты: užmuščiaũ / užmùščiau
№5404 | Инфинитив: užner̃vinti          | Форма: "uznervinu" (Aš      ) | Варианты: užner̃vinu / užnèrvinu
№5405 | Инфинитив: užner̃vinti          | Форма: "uznervini" (Tu      ) | Варианты: užner̃vini / užnèrvini
№5406 | Инфинитив: užner̃vinti          | Форма: "uznerviname" (Mes     ) | Варианты: užner̃viname / užnèrviname
№5407 | Инфинитив: užner̃vinti          | Форма: "uznervinate" (Jūs     ) | Варианты: užner̃vinate / užnèrvinate
№5408 | Инфинитив: užner̃vinti          | Форма: "uznervinau" (Aš      ) | Варианты: užner̃vinau / užnèrvinau
№5409 | Инфинитив: užner̃vinti          | Форма: "uznervinai" (Tu      ) | Варианты: užner̃vinai / užnèrvinai
№5410 | Инфинитив: užner̃vinti          | Форма: "uznervinome" (Mes     ) | Варианты: užner̃vinome / užnèrvinome
№5411 | Инфинитив: užner̃vinti          | Форма: "uznervinote" (Jūs     ) | Варианты: užner̃vinote / užnèrvinote
№5412 | Инфинитив: užner̃vinti          | Форма: "uznervinsiu" (Aš      ) | Варианты: užner̃vinsiu / užnèrvinsiu
№5413 | Инфинитив: užner̃vinti          | Форма: "uznervinsi" (Tu      ) | Варианты: užner̃vinsi / užnèrvinsi
№5414 | Инфинитив: užner̃vinti          | Форма: "uznervins" (Jis/ji  ) | Варианты: užner̃vins / užnèrvins
№5415 | Инфинитив: užner̃vinti          | Форма: "uznervinsime" (Mes     ) | Варианты: užner̃vinsime / užnèrvinsime
№5416 | Инфинитив: užner̃vinti          | Форма: "uznervinsite" (Jūs     ) | Варианты: užner̃vinsite / užnèrvinsite
№5417 | Инфинитив: užner̃vinti          | Форма: "uznervinciau" (Aš      ) | Варианты: užner̃vinčiau / užnèrvinčiau
№5418 | Инфинитив: užner̃vinti          | Форма: "uznervintum" (Tu      ) | Варианты: užner̃vintum / užnèrvintum
